order,domain,arm,channel,dice_percent
1,REFUGE_Valid,K_FREE,OD,82.52318031659841
1,REFUGE_Valid,K_FREE,OC,64.51322174478344
1,REFUGE_Valid,K_FREE,macro,73.51820103069092
1,REFUGE_Valid,G_BOUND,OD,82.56681111662142
1,REFUGE_Valid,G_BOUND,OC,64.69028862846525
1,REFUGE_Valid,G_BOUND,macro,73.62854987254333
1,REFUGE_Valid,G_CONST,OD,82.45346184896434
1,REFUGE_Valid,G_CONST,OC,64.65643277607433
1,REFUGE_Valid,G_CONST,macro,73.55494731251933
1,REFUGE_Valid,G_SHUFFLE,OD,82.47459227298664
1,REFUGE_Valid,G_SHUFFLE,OC,64.65826013760116
1,REFUGE_Valid,G_SHUFFLE,macro,73.56642620529391
1,REFUGE_Valid,G_GLOBAL,OD,82.67445808540202
1,REFUGE_Valid,G_GLOBAL,OC,64.74194054362057
1,REFUGE_Valid,G_GLOBAL,macro,73.7081993145113
1,Drishti_GS,C,OD,85.95899660557197
1,Drishti_GS,C,OC,61.281864065427285
1,Drishti_GS,C,macro,73.62043033549963
1,Drishti_GS,RP,OD,85.9546986187967
1,Drishti_GS,RP,OC,61.29669213895056
1,Drishti_GS,RP,macro,73.62569537887362
1,Drishti_GS,MT,OD,85.77875586784823
1,Drishti_GS,MT,OC,61.21413860958637
1,Drishti_GS,MT,macro,73.4964472387173
1,Drishti_GS,MT_RP,OD,85.77830072734407
1,Drishti_GS,MT_RP,OC,61.22748503870965
1,Drishti_GS,MT_RP,macro,73.50289288302686
1,Drishti_GS,FT,OD,85.73757811596094
1,Drishti_GS,FT,OC,61.19246309349457
1,Drishti_GS,FT,macro,73.46502060472775
1,Drishti_GS,FT_RP,OD,85.7378287967291
1,Drishti_GS,FT_RP,OC,61.20845503562702
1,Drishti_GS,FT_RP,macro,73.47314191617804
1,Drishti_GS,KDG,OD,86.0205032950465
1,Drishti_GS,KDG,OC,61.28019141508875
1,Drishti_GS,KDG,macro,73.65034735506762
1,Drishti_GS,K_ALL,OD,86.02099165905435
1,Drishti_GS,K_ALL,OC,61.26908243984996
1,Drishti_GS,K_ALL,macro,73.64503704945214
1,Drishti_GS,K_MAG,OD,85.96006574410059
1,Drishti_GS,K_MAG,OC,61.28400814391977
1,Drishti_GS,K_MAG,macro,73.62203694401019
1,Drishti_GS,K_FREE,OD,85.96802640322436
1,Drishti_GS,K_FREE,OC,61.278383756476686
1,Drishti_GS,K_FREE,macro,73.62320507985055
1,Drishti_GS,G_BOUND,OD,85.90475927996917
1,Drishti_GS,G_BOUND,OC,61.25647676739027
1,Drishti_GS,G_BOUND,macro,73.58061802367972
1,Drishti_GS,G_CONST,OD,85.8482548386341
1,Drishti_GS,G_CONST,OC,61.237907233601334
1,Drishti_GS,G_CONST,macro,73.54308103611773
1,Drishti_GS,G_SHUFFLE,OD,85.84782594604839
1,Drishti_GS,G_SHUFFLE,OC,61.238130326769465
1,Drishti_GS,G_SHUFFLE,macro,73.54297813640892
1,Drishti_GS,G_GLOBAL,OD,85.89505548753546
1,Drishti_GS,G_GLOBAL,OC,61.246492633312776
1,Drishti_GS,G_GLOBAL,macro,73.57077406042413
2,REFUGE,C,OD,90.2345238753077
2,REFUGE,C,OC,83.04122096043173
2,REFUGE,C,macro,86.63787241786973
2,REFUGE,RP,OD,90.21550057935158
2,REFUGE,RP,OC,82.90629091142041
2,REFUGE,RP,macro,86.560895745386
2,REFUGE,MT,OD,89.91219927157928
2,REFUGE,MT,OC,83.28003261798152
2,REFUGE,MT,macro,86.5961159447804
2,REFUGE,MT_RP,OD,89.90883821396096
2,REFUGE,MT_RP,OC,83.22059675949373
2,REFUGE,MT_RP,macro,86.56471748672736
2,REFUGE,FT,OD,88.54313628959892
2,REFUGE,FT,OC,82.75799032360705
2,REFUGE,FT,macro,85.65056330660298
2,REFUGE,FT_RP,OD,88.52936387556524
2,REFUGE,FT_RP,OC,82.84683450727519
2,REFUGE,FT_RP,macro,85.6880991914202
2,REFUGE,KDG,OD,90.31289238810888
2,REFUGE,KDG,OC,83.0271418672425
2,REFUGE,KDG,macro,86.67001712767569
2,REFUGE,K_ALL,OD,90.31160914565977
2,REFUGE,K_ALL,OC,83.02725145786401
2,REFUGE,K_ALL,macro,86.66943030176189
2,REFUGE,K_MAG,OD,90.23343457433377
2,REFUGE,K_MAG,OC,83.04220447358212
2,REFUGE,K_MAG,macro,86.63781952395794
2,REFUGE,K_FREE,OD,90.24064850347446
2,REFUGE,K_FREE,OC,83.03036195030813
2,REFUGE,K_FREE,macro,86.6355052268913
2,REFUGE,G_BOUND,OD,90.12016137059511
2,REFUGE,G_BOUND,OC,83.09932010076298
2,REFUGE,G_BOUND,macro,86.60974073567905
2,REFUGE,G_CONST,OD,90.02265877867124
2,REFUGE,G_CONST,OC,83.106108831288
2,REFUGE,G_CONST,macro,86.56438380497963
2,REFUGE,G_SHUFFLE,OD,90.02172685363551
2,REFUGE,G_SHUFFLE,OC,83.10530491911476
2,REFUGE,G_SHUFFLE,macro,86.56351588637514
2,REFUGE,G_GLOBAL,OD,90.08576594012126
2,REFUGE,G_GLOBAL,OC,83.11264997184948
2,REFUGE,G_GLOBAL,macro,86.59920795598538
2,ORIGA,C,OD,85.161810995662
2,ORIGA,C,OC,68.6191522319363
2,ORIGA,C,macro,76.89048161379914
2,ORIGA,RP,OD,85.18198835142033
2,ORIGA,RP,OC,68.78180644676769
2,ORIGA,RP,macro,76.981897399094
2,ORIGA,MT,OD,83.19599629567578
2,ORIGA,MT,OC,66.24519783891795
2,ORIGA,MT,macro,74.72059706729688
2,ORIGA,MT_RP,OD,83.23222318625693
2,ORIGA,MT_RP,OC,66.46695009844923
2,ORIGA,MT_RP,macro,74.84958664235307
2,ORIGA,FT,OD,80.55780595054883
2,ORIGA,FT,OC,62.73817557720418
2,ORIGA,FT,macro,71.6479907638765
2,ORIGA,FT_RP,OD,80.58111692626291
2,ORIGA,FT_RP,OC,62.9637714382276
2,ORIGA,FT_RP,macro,71.77244418224527
2,ORIGA,KDG,OD,85.32547320185498
2,ORIGA,KDG,OC,68.72035078047693
2,ORIGA,KDG,macro,77.02291199116596
2,ORIGA,K_ALL,OD,85.32511972023543
2,ORIGA,K_ALL,OC,68.72379944580982
2,ORIGA,K_ALL,macro,77.02445958302263
2,ORIGA,K_MAG,OD,85.16603276976666
2,ORIGA,K_MAG,OC,68.62404346464005
2,ORIGA,K_MAG,macro,76.89503811720337
2,ORIGA,K_FREE,OD,85.19195221355604
2,ORIGA,K_FREE,OC,68.6564403423984
2,ORIGA,K_FREE,macro,76.9241962779772
2,ORIGA,G_BOUND,OD,85.01960320892815
2,ORIGA,G_BOUND,OC,68.5026051946533
2,ORIGA,G_BOUND,macro,76.76110420179073
2,ORIGA,G_CONST,OD,84.98735278883156
2,ORIGA,G_CONST,OC,68.50283344770351
2,ORIGA,G_CONST,macro,76.74509311826752
2,ORIGA,G_SHUFFLE,OD,84.9884212093209
2,ORIGA,G_SHUFFLE,OC,68.5040688851063
2,ORIGA,G_SHUFFLE,macro,76.7462450472136
2,ORIGA,G_GLOBAL,OD,84.98410232583457
2,ORIGA,G_GLOBAL,OC,68.48568526992014
2,ORIGA,G_GLOBAL,macro,76.73489379787738
2,REFUGE_Valid,C,OD,80.88075744280204
2,REFUGE_Valid,C,OC,61.94284163547999
2,REFUGE_Valid,C,macro,71.41179953914101
2,REFUGE_Valid,RP,OD,80.56559914456669
2,REFUGE_Valid,RP,OC,61.1380835772913
2,REFUGE_Valid,RP,macro,70.85184136092899
2,REFUGE_Valid,MT,OD,82.5621076320065
2,REFUGE_Valid,MT,OC,63.684267667899654
2,REFUGE_Valid,MT,macro,73.12318764995308
2,REFUGE_Valid,MT_RP,OD,82.34416686043399
2,REFUGE_Valid,MT_RP,OC,62.89107592199503
2,REFUGE_Valid,MT_RP,macro,72.61762139121451
2,REFUGE_Valid,FT,OD,85.12857262842962
2,REFUGE_Valid,FT,OC,66.92055172095127
2,REFUGE_Valid,FT,macro,76.02456217469043
2,REFUGE_Valid,FT_RP,OD,85.13560432977975
2,REFUGE_Valid,FT_RP,OC,66.56096712460003
2,REFUGE_Valid,FT_RP,macro,75.84828572718989
2,REFUGE_Valid,KDG,OD,80.64586159111164
2,REFUGE_Valid,KDG,OC,61.7824575449517
2,REFUGE_Valid,KDG,macro,71.21415956803166
2,REFUGE_Valid,K_ALL,OD,80.68623012784376
2,REFUGE_Valid,K_ALL,OC,61.80876067963878
2,REFUGE_Valid,K_ALL,macro,71.24749540374125
2,REFUGE_Valid,K_MAG,OD,80.85287057029662
