stream,control,channel,domain,block_type,block,phase,first_visit,all_arrivals,prior_domain_exposures,domain_occurrence,gap_since_domain_visit,is_switch_segment,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,R_SHUFFLE,macro,ORIGA,segment,2,all,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.007051406724102402,-0.0011831504052608466,-0.7313734650579562,0.706254907868523,-2.348149532360061,-1.1801375283294169,59,293,293,0,0.25,-0.0070514067241024,-0.0017628516810256,0.059066244417810304,-0.060829096098835904,-0.0017628516810256,-0.0008814258405128,
0,R_SHUFFLE,macro,ORIGA,segment,2,all,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.00019115996566572608,0.0012270634060307373,-0.019643173018195625,0.020502917277347876,-0.9101259672519717,-0.06396065294252398,59,310,276,0,0.25,0.00019115996566572622,4.7789991416431555e-05,0.0023577136589664556,-0.002309923667550024,4.7789991416431555e-05,2.3894995708215777e-05,
0,R_SHUFFLE,macro,ORIGA,segment,2,all,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.006860246758436676,-0.007533672004804259,-0.7163018770567078,0.7465866577727844,-2.2317371775003707,-1.162692479110811,59,290,296,0,0.25,-0.0068602467584366784,-0.0017150616896091696,0.05853933615466382,-0.06025439784427299,-0.0017150616896091696,-0.0008575308448045848,
0,C,OD,ORIGA,segment,2,early_1_8,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,8,8,8,0,LOW_SUPPORT,-0.09821901091360008,-0.06618499465509231,-0.38270850949864865,0.15513732355978926,-0.4397149344820406,-0.4397149344820406,1,4,4,0,0.0034129692832764505,-0.09821901091360008,-0.00033521846728191154,0.00021169953736420617,-0.0005469180046461178,-0.00016760923364095577,-8.380461682047789e-05,
0,C,OD,ORIGA,segment,2,early_1_8,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,8,8,8,0,LOW_SUPPORT,0.10505035579817168,0.06199356120158939,0.025795804073743513,0.21728379642843404,0.0043794065982041275,0.0043794065982041275,1,8,0,0,0.0034129692832764505,0.10505035579817168,0.0003585336375364221,0.0003585336375364221,0.0,0.00017926681876821105,8.963340938410553e-05,
0,C,OD,ORIGA,segment,2,early_1_8,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,8,8,8,0,LOW_SUPPORT,0.0068313448845716,-0.02612272339186461,-0.31312982213214297,0.3282214419392182,-0.4003454183311419,-0.4003454183311419,1,4,4,0,0.0034129692832764505,0.006831344884571598,2.3315170254510573e-05,0.0004666982716464135,-0.0004433831013919029,1.1657585127255286e-05,5.828792563627643e-06,
0,R_SCALE,OD,ORIGA,segment,2,early_1_8,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,8,8,8,0,LOW_SUPPORT,-1.1801137947682374,-1.481374652934079,-1.7560669399102622,-0.27539224507261084,-2.281575098912768,-2.281575098912768,1,0,8,0,0.0034129692832764505,-1.1801137947682374,-0.0040276921323148035,0.0,-0.0040276921323148035,-0.0020138460661574017,-0.0010069230330787009,
0,R_SCALE,OD,ORIGA,segment,2,early_1_8,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,8,8,8,0,LOW_SUPPORT,0.055137725593149334,0.028867205457643763,-0.038293484490380794,0.15274854085250378,-0.04470664836633631,-0.04470664836633631,1,5,3,0,0.0034129692832764505,0.05513772559314934,0.0001881833637991445,0.0002314238866315661,-4.3240522832421596e-05,9.409168189957225e-05,4.704584094978613e-05,
0,R_SCALE,OD,ORIGA,segment,2,early_1_8,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,8,8,8,0,LOW_SUPPORT,-1.124976069175088,-1.4533507783995887,-1.7753827084623601,-0.15129918643755363,-2.241645481231643,-2.241645481231643,1,1,7,0,0.0034129692832764505,-1.124976069175088,-0.003839508768515659,2.190300113155998e-05,-0.0038614117696472187,-0.0019197543842578294,-0.0009598771921289147,
0,R_SHUFFLE,OD,ORIGA,segment,2,early_1_8,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,8,8,8,0,LOW_SUPPORT,-1.2493623894109644,-1.5813067100678175,-1.8924726654184325,-0.22965116596519694,-2.470012505327986,-2.470012505327986,1,0,8,0,0.0034129692832764505,-1.2493623894109644,-0.004264035458740493,0.0,-0.004264035458740493,-0.0021320177293702464,-0.0010660088646851232,
